TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Assistant Professor,Chemical Engineering,100,"87,869.00","90,989.00","3,120.00",O,PHD,Doctor of Philosophy,9,9,1,1,1,100,9,F9
Assistant Professor,Chemical Engineering,100,"89,369.00","92,489.00","3,120.00",O,PHD,Doctor of Philosophy,9,9,1,1,1,100,9,F9
Assistant Professor,Chemical Engineering,100,"90,000.00","90,000.00",0.00,N,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Associate Professor,Chemical Engineering,100,"94,964.00","98,084.00","3,120.00",T,PHD,Doctor of Philosophy,12,12,1,1,1,100,9,F9
Instructor,Chemical Engineering,100,"78,033.00","78,033.00",0.00,N,BS,Bachelor of Science,3,3,1,1,1,100,12,FA
Instructor,Chemical Engineering,100,"75,000.00","75,000.00",0.00,,M,"Master's, Unspecified_",0,2,1,1,1,100,12,FA
Instructor,Chemical Engineering,100,"112,572.00","112,572.00",0.00,N,PHD,Doctor of Philosophy,5,5,1,1,1,100,12,FA
Professor,Chemical Engineering,100,"165,202.00","185,822.00","20,620.00",T,PHD,Doctor of Philosophy,6,6,1,1,1,100,9,F9
Professor,Chemical Engineering,100,"200,000.00","218,120.00","18,120.00",T,PHD,Doctor of Philosophy,13,13,1,1,1,100,9,F9
Professor,Chemical Engineering,100,"180,000.00","195,000.00","15,000.00",T,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Chemistry,100,"72,000.00","72,000.00",0.00,O,PHD,Doctor of Philosophy,0,0,1,1,1,100,9,F9
Assistant Professor,Chemistry,100,"69,844.00","69,844.00",0.00,O,PHD,Doctor of Philosophy,2,2,1,1,1,100,9,F9
Assistant Professor,Chemistry,100,"68,650.00","68,650.00",0.00,O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
